Dataset,p,alpha,RCBS_solution,RCBS_time,DL-RCBS_solution,DL-RCBS_time,ARCBS_solution,ARCBS_time,DL-ARCBS_solution,DL-ARCBS_time,IRCBS_solution,IRCBS_time,DL-IRCBS_solution,DL-IRCBS_time,IARCBS_solution,IARCBS_time,DL-IARCBS_solution,DL-IARCBS_time,CPLEX_solution,CPLEX_time
cab100,2,0.4,19783618886,253.1103,19063068522,255.5722,19194721216,217.5054,19063068522,276.0143,19783618886,203.1881,19063068522,262.9944,19194721216,253.925,19063068522,274.6353,17738947776,1152.7952
cab100,2,0.5,20362337318,313.1994,19867034347,288.7043,19797386618,249.831,19867034347,323.7977,20362337318,293.9431,19867034347,388.5339,19797386618,218.1845,19867034347,431.2988,18362065271,2048.9636
cab100,2,0.6,20941055750,364.3394,20671000172,481.152,20400052020,294.6366,20671000172,486.364,20941055750,317.718,20671000172,633.6775,20400052020,192.7107,20671000172,514.5107,18985182766,1900.4139
cab100,2,0.7,21519774182,355.8714,21474965997,727.7949,21002717421,254.5308,21474965997,621.0852,21519774182,245.3954,21474965997,1046.4105,21002717421,186.2838,21474965997,780.6699,19608300261,1561.9819
cab100,2,0.8,22098492614,396.8596,22098492614,541.2306,21605382823,234.6556,22098492614,687.4423,22098492614,203.9067,22098492614,854.8624,21605382823,373.1848,22098492614,553.709,20231417756,3332.6363
cab100,3,0.2,13416571627,404.2091,13348722846,243.0998,13416571627,360.5015,13348722846,228.326,13348722846,268.551,13223412948,331.0729,13348722846,310.0572,13206600998,553.3613,12945447284,1584.4113
cab100,3,0.3,14429720288,436.206,14334949008,357.4467,14429720288,283.6375,14334949008,338.0423,14334949008,396.4731,14245658884,756.825,14334949008,366.0708,14206304619,692.0589,13930218681,1673.2832
cab100,3,0.4,15442470090,509.659,15321175171,444.9626,15442470090,552.4516,15321175171,692.1787,15321175171,461.6372,15205644853,570.3456,15321616147,444.1851,15176624640,862.123,14892733422,3860.0826
cab100,3,0.5,16455219893,672.5131,16287912682,588.8726,16455219893,709.0855,16273338410,633.7204,16287912682,672.8483,16158324989,719.2322,16287912682,770.6864,16146944661,1111.8809,15800720878,5388.3561
cab100,3,0.6,17467969696,882.1579,17214942422,954.2031,17467969696,815.9927,17214942422,1506.2535,17214942422,956.9038,17100320332,1122.6528,17214942422,893.8314,17100320332,1526.3629,16706562134,9197.3711
cab100,3,0.7,18480719498,1239.752,18141694533,670.3305,18480719498,1157.0477,18141694533,1122.4608,18141694533,726.5322,18040154933,1474.2804,18141694533,655.252,18040154933,2106.5032,17612403391,14400.9977
cab100,3,0.8,19493469301,1769.5615,19068446643,809.6008,19493469301,1455.5646,19068446643,1409.7858,19068446643,1326.9102,18968377649,1938.6205,19068446643,1359.606,18968377649,2808.236,18538042719,14400.8516
cab100,4,0.2,11708460483,404.3455,11094768494,178.2551,11694661611,260.4591,11094768494,313.8915,11488785409,228.2649,11094768494,354.4204,11489086071,318.5719,11094768494,409.5092,11027421846,1469.7332
cab100,4,0.3,12882943811,468.995,12231191313,481.2193,12878170106,686.3162,12231191313,648.1736,12570536622,400.2984,12231191313,732.5131,12570536622,786.885,12231191313,804.2447,12124935075,3312.5749
cab100,4,0.4,14044015363,426.7326,13367614132,741.5577,14033155680,695.2552,13367614132,1063.9867,13647417508,688.7951,13367614132,1112.6096,13631805658,1219.8544,13367614132,1153.0249,13218206372,10148.1869
cab100,4,0.5,15205086915,870.0017,14502908972,650.3544,15183368754,1122.6337,14472208201,841.4513,14664338436,1206.994,14502908972,1007.1279,14659186720,1677.1632,14472208201,1498.1894,14394289911,14400.7946
cab100,4,0.6,16364398263,939.2961,15621236854,930.1532,16333581828,1852.7208,15563380993,1442.6271,15671509997,1144.5227,15621236854,1781.5099,15671509997,1364.4195,15563380993,3103.6548,15355580296,14400.7487
cab100,4,0.7,17428020277,993.7277,16678681558,1301.8984,17428020277,2332.9835,16654553785,2346.9016,16678681558,1604.9748,16678681558,2280.1919,16678681558,2228.1656,16654553785,3635.9495,16384418254,14401.1884
cab100,4,0.8,18440388904,1428.2502,17682631722,1532.7693,18440388904,3453.0077,17682631722,3519.9501,17682631722,1343.0307,17682631722,2997.4211,17682631722,2683.0323,17682631722,6557.8206,17427139697,14400.7971
cab100,5,0.2,10988818356,485.3725,9660860924,276.9269,10985951727,784.8329,9660692257,327.3619,9660692257,171.1858,9660692257,269.0394,9660692257,271.1624,9660692257,357.129,9645690957,1116.537
cab100,5,0.3,12172286795,578.6885,10829962482,260.3796,12169286440,839.0843,10829962482,389.9832,10829962482,202.1037,10829962482,346.358,10829962482,293.8279,10829962482,385.971,10829962482,2668.746
cab100,5,0.4,13341055937,1120.4117,11999232706,252.446,13329589470,1432.9486,11999232706,364.3534,11999232706,353.6044,11999232706,348.9175,11999232706,634.1605,11999232706,433.0095,11999232705,5682.7582
cab100,5,0.5,14509683635,1578.1692,13134778019,387.2822,14487206994,2633.575,13134814418,455.7736,13139091347,678.0881,13134778019,506.244,13106194208,794.1719,13134778019,662.9648,13106277603,14400.6993
cab100,5,0.6,15672232667,1892.5632,14258325053,524.0567,15640579958,3987.9553,14258325053,695.875,14224748268,769.5168,14258462663,689.3865,14165747854,1046.528,14258325053,1129.4904,14193847398,14400.613
cab100,5,0.7,16820045950,2980.2079,15382110908,715.9013,16776817733,14400.8112,15381872087,1240.0151,15288663115,993.3811,15381872087,1451.3646,15264590713,1128.0543,15381872087,2033.3341,15264590713,14400.656
cab100,5,0.8,17958560395,5553.9032,16505419122,916.805,17881955912,14400.8063,16505419122,1538.8916,16351336569,1535.7329,16505419122,1556.8931,16280861523,2011.4571,16505419122,3246.7607,16346975631,14400.7395
cab100,10,0.2,6648133624,374.8438,6663373926,233.2603,6648133624,394.0759,6663373926,230.1146,6648133624,258.0285,6648133624,322.9537,6648133624,317.6268,6648133624,401.1231,6648133624,566.0738
cab100,10,0.3,7930225961,403.0041,7949771170,276.5806,7930225961,650.5696,7949771170,405.4741,7930225961,667.57,7930225961,478.7857,7930225961,906.1736,7930225961,623.0476,7930225961,1494.5081
cab100,10,0.4,9212094471,691.0595,9236168413,377.7588,9212094471,1348.8449,9236168413,991.7308,9212094471,1599.586,9212094471,1014.338,9212094471,3772.9539,9212094471,2155.4572,9212094471,9532.4924
cab100,10,0.5,10493434323,1142.5682,10521909360,691.892,10490006414,4455.1791,10518476762,2888.7318,10493434323,3095.5665,10493434323,1904.2911,10490006414,12710.9406,10490006414,6609.4869,10682544026,14400.6906
cab100,10,0.6,11763172579,2725.0232,11795798918,986.2488,11757170149,14400.8327,11790027237,14400.6984,11763172579,8907.6677,11763172579,3955.8208,11791797259,14400.7159,11757667016,14400.6559,11988733598,14400.6479
cab100,10,0.7,13001703701,5032.6127,13051654312,2118.9568,13009884227,14400.8602,13040720399,14400.8783,13004991318,14400.6311,13014695332,9748.8991,13051496506,14400.7862,13011183234,14400.6802,13173761125,14400.5856
cab100,10,0.8,14190913911,7846.1274,14307058145,6521.3329,14192444768,14400.7463,14284183570,14400.9001,14191153870,14400.7168,14253077136,14400.6775,14199191718,14400.6379,15044964865,2173.9035,14298707746,14400.6751
ap100,2,0.2,910230.9248,213.9255,703414.2792,213.67,910230.9248,146.9969,703414.2792,156.3349,910230.9248,148.6935,703414.2792,169.3404,910230.9248,199.4366,703414.2792,204.1434,703414.2792,889.3878
ap100,2,0.3,915900.1059,239.1026,729854.1247,238.0384,915900.1059,145.9369,729854.1247,261.3435,915900.1059,153.9302,729854.1247,208.2371,915900.1059,150.7856,729854.1247,246.3637,729854.1247,1122.0334
ap100,2,0.4,921455.6292,230.501,755566.1136,272.9711,921455.6292,126.4286,755566.1136,256.3961,921455.6292,141.7849,755566.1136,249.7788,921455.6292,145.4872,755566.1136,280.8229,755566.1136,1138.0522
ap100,2,0.5,927011.1526,242.7706,780805.2594,241.6423,927011.1526,163.6722,780805.2594,251.3677,927011.1526,187.5411,780805.2594,342.891,927077.5413,139.6158,780805.2594,322.8304,778867.3988,1792.83
ap100,2,0.6,932573.2992,178.5051,805626.5531,345.4196,932573.2992,176.7292,805626.5531,272.85,932573.2992,160.1476,805626.5531,276.3362,932573.2992,162.7508,805626.5531,283.5491,801492.0685,2915.3016
ap100,2,0.7,938069.057,226.7054,830274.7701,359.9736,938069.057,158.7717,830274.7701,440.2245,938069.057,174.5339,830274.7701,433.8189,938069.057,198.5675,830274.7701,426.8391,823865.5795,4935.2087
ap100,2,0.8,943564.8148,270.773,854595.5519,485.0952,943564.8148,233.9296,854595.5519,564.0718,943564.8148,204.8132,854595.5519,487.8205,943571.3101,253.9539,854595.5519,480.9167,844143.1325,5955.6555
ap100,3,0.2,651666.0228,327.7032,621618.8338,167.2615,651666.0228,309.8112,621618.8338,228.2364,639832.6464,214.5752,613857.4982,235.4533,639832.6464,214.6743,613857.4982,227.0172,613857.4982,1302.408
ap100,3,0.3,680876.7152,359.297,653960.7559,409.6431,680876.7152,373.3131,653960.7559,412.2015,669733.1711,351.7627,647069.0854,409.4296,669733.1711,298.1229,647069.0854,393.4867,647100.1269,2442.7119
ap100,3,0.4,709513.4603,480.9874,685917.5579,468.7508,709513.4603,419.986,685917.5579,372.9794,698757.4206,386.3278,679961.458,722.5327,698757.4206,487.8042,679961.458,876.477,679961.458,4300.3933
ap100,3,0.5,738150.2053,539.3779,717258.2749,753.6108,738150.2053,508.6735,717258.2749,719.2334,727635.0827,690.8744,712651.8537,1107.6375,727635.0827,645.0467,712651.8537,993.6224,710373.9927,6275.703
ap100,3,0.6,765372.5017,868.5595,747545.8434,662.9875,765372.5017,954.485,747551.8669,843.0372,756348.1994,753.5507,745031.4661,1275.993,756348.1994,1219.7886,745031.4661,1511.158,738414.4146,12112.351
ap100,3,0.7,792089.6089,946.9678,777275.959,995.9895,792089.6089,1168.1171,777275.959,978.4421,784956.4032,1213.0044,777275.959,2465.4857,784956.4032,1399.7439,777275.959,10762.1545,766454.1105,14400.8687
ap100,3,0.8,818688.2228,1561.9982,806397.9697,1127.2914,818688.2228,2021.791,806397.9697,1096.3497,813282.6803,2171.9921,805091.898,2524.3332,813282.6803,2143.9071,805091.898,2571.4977,796878.6216,14400.6543
ap100,4,0.2,596112.0608,238.2163,555285.5002,249.1027,594520.3783,179.5143,553739.6157,481.3563,577599.1945,240.5603,554528.8564,476.5464,576070.2053,253.6047,553739.6157,651.7443,553739.6157,2830.2377
ap100,4,0.3,626906.6765,351.2894,591281.5163,541.3819,625319.9559,290.3673,589777.0682,651.4648,616473.4897,482.6751,590975.1975,871.1787,614994.3845,482.5189,589777.0682,1083.1829,589777.0682,3629.554
ap100,4,0.4,657307.3556,398.0936,626957.0724,805.628,656029.428,336.1482,625814.5207,1093.2659,655050.1166,718.9991,626957.0724,1135.5727,653918.5638,1196.2806,625814.5207,1161.8384,625814.5207,8388.33
ap100,4,0.5,687426.5041,273.9667,662492.7807,1101.9646,686600.7705,419.5977,661851.9733,1745.3455,687426.5041,632.3999,662492.7807,1314.7736,686600.7705,1424.9636,661851.9733,1686.0211,658291.6771,12758.075
ap100,4,0.6,717542.1853,353.3667,698028.489,2093.3323,717172.113,881.9722,697889.4258,3646.0263,717542.1853,683.7892,698028.489,2232.3877,717172.113,1531.3709,697889.4258,14400.6294,689859.9007,14400.5984
ap100,4,0.7,747306.0843,528.4313,732887.7012,2446.211,747306.0843,1326.8635,732887.7012,14400.6755,747306.0843,851.8845,732887.7012,3357.6274,747306.0843,1765.5888,733425.8847,14400.6688,721166.0274,14400.6528
ap100,4,0.8,777069.9834,684.6734,765265.2493,2490.4654,777069.9834,2319.1073,765265.2493,14400.8105,777069.9834,1225.1669,764956.3952,14400.6155,777069.9834,2607.6748,765267.6912,14400.9957,755399.1792,14400.659
ap100,5,0.2,540428.8076,395.0913,517009.9198,414.028,540428.8076,611.5648,517009.9198,474.2378,540428.8076,758.5364,517009.9198,558.4383,540428.8076,959.1463,517009.9198,593.13,514819.2879,6860.0487
ap100,5,0.3,582665.062,847.7303,556481.2219,696.5281,582665.062,892.5399,556481.2219,618.2915,582286.778,1656.2919,556481.2219,784.1721,582286.778,2070.4566,556481.2219,1146.8451,554738.6257,13186.4036
ap100,5,0.4,618457.6863,918.8967,595575.5233,1095.9549,618457.6863,1333.9166,595575.5233,1386.603,618457.6863,2239.4217,595575.5233,1808.6348,618457.6863,2157.6025,595575.5233,2284.984,595514.0739,14400.6003
ap100,5,0.5,654000.488,1120.9672,633597.8501,1534.9706,654000.488,1297.5277,633597.8501,1676.504,652325.0914,2092.6717,632667.4664,3046.7746,652325.0914,2243.3765,630918.4747,3039.279,632943.7222,14400.9976
